cards,upcard,total,soft,natural,optimal_actions,deal_probability,pre_value,post_value,pre_stand,pre_hit,pre_double,pre_split,post_stand,post_hit,post_double,post_split
"1,2",5,13,True,False,hit,0.0009103322712790169,0.13336273848321714,0.13336273848321714,-0.16719266083547535,0.13336273848321714,0.12595448524867897,,-0.16719266083547535,0.13336273848321714,0.12595448524867897,
"1,2",6,13,True,False,double,0.0009103322712790169,0.17974820582791504,0.17974820582791504,-0.15369901583000453,0.16169271124923687,0.17974820582791504,,-0.15369901583000453,0.16169271124923687,0.17974820582791504,
"1,2",7,13,True,False,hit,0.0009103322712790169,0.12238569517899191,0.12238569517899191,-0.47537518327693334,0.12238569517899191,-0.1838655800163816,,-0.47537518327693334,0.12238569517899191,-0.1838655800163816,
"1,2",8,13,True,False,hit,0.0009103322712790169,0.05405707019631126,0.05405707019631126,-0.5105175154976173,0.05405707019631126,-0.31444090236733896,,-0.5105175154976173,0.05405707019631126,-0.31444090236733896,
"1,2",9,13,True,False,hit,0.0009103322712790169,-0.03769468812747994,-0.03769468812747994,-0.5431496811311094,-0.03769468812747994,-0.4563669632837084,,-0.5431496811311094,-0.03769468812747994,-0.4563669632837084,
"1,2",10,13,True,False,hit,0.0036413290851160674,-0.17370894622117955,-0.10485135840627786,-0.5757818467646016,-0.17370894622117955,-0.5514109122292086,,-0.5404303339949851,-0.10485135840627786,-0.5140284882483093,
"1,3",1,14,True,False,hit,0.0009103322712790169,-0.3726822248395993,-0.09387432476831009,-0.769427459397661,-0.3726822248395993,-0.7399627006837957,,-0.6669507746855103,-0.09387432476831009,-0.6243905676543714,
"1,3",2,14,True,False,hit,0.0009103322712790169,0.022391856987839028,0.022391856987839028,-0.29278372720927737,0.022391856987839028,-0.07156995790821606,,-0.29278372720927737,0.022391856987839028,-0.07156995790821606,
"1,3",3,14,True,False,hit,0.0009103322712790169,0.05080673891928277,0.05080673891928277,-0.25225022923571355,0.05080673891928277,-0.00722809451045851,,-0.25225022923571355,0.05080673891928277,-0.00722809451045851,
"1,3",4,14,True,False,hit,0.0009103322712790169,0.08008141431011019,0.08008141431011019,-0.21106310899491437,0.08008141431011019,0.05842651874374489,,-0.21106310899491437,0.08008141431011019,0.05842651874374489,
"1,3",5,14,True,False,double,0.0009103322712790169,0.12595448524867897,0.12595448524867897,-0.16719266083547535,0.11189449567473911,0.12595448524867897,,-0.16719266083547535,0.11189449567473911,0.12595448524867897,
"1,3",6,14,True,False,double,0.0009103322712790169,0.17974820582791504,0.17974820582791504,-0.15369901583000453,0.13916473074357677,0.17974820582791504,,-0.15369901583000453,0.13916473074357677,0.17974820582791504,
"1,3",7,14,True,False,hit,0.0009103322712790169,0.07950748849446812,0.07950748849446812,-0.47537518327693334,0.07950748849446812,-0.1838655800163816,,-0.47537518327693334,0.07950748849446812,-0.1838655800163816,
"1,3",8,14,True,False,hit,0.0009103322712790169,0.013277219463208409,0.013277219463208409,-0.5105175154976173,0.013277219463208409,-0.31444090236733896,,-0.5105175154976173,0.013277219463208409,-0.31444090236733896,
"1,3",9,14,True,False,hit,0.0009103322712790169,-0.07516318944168386,-0.07516318944168386,-0.5431496811311094,-0.07516318944168386,-0.4563669632837084,,-0.5431496811311094,-0.07516318944168386,-0.4563669632837084,
"1,3",10,14,True,False,hit,0.0036413290851160674,-0.205661645085035,-0.13946678217545458,-0.5757818467646016,-0.205661645085035,-0.5514109122292086,,-0.5404303339949851,-0.13946678217545458,-0.5140284882483093,
"1,4",1,15,True,False,hit,0.0009103322712790169,-0.3977106550081497,-0.1300265016784385,-0.769427459397661,-0.3977106550081497,-0.7399627006837957,,-0.6669507746855103,-0.1300265016784385,-0.6243905676543714,
"1,4",2,15,True,False,hit,0.0009103322712790169,-0.00012068474052642708,-0.00012068474052642708,-0.29278372720927737,-0.00012068474052642708,-0.07156995790821606,,-0.29278372720927737,-0.00012068474052642708,-0.07156995790821606,
"1,4",3,15,True,False,hit,0.0009103322712790169,0.029159812622497318,0.029159812622497318,-0.25225022923571355,0.029159812622497318,-0.00722809451045851,,-0.25225022923571355,0.029159812622497318,-0.00722809451045851,
"1,4",4,15,True,False,hit,0.0009103322712790169,0.05928537693117987,0.05928537693117987,-0.21106310899491437,0.05928537693117987,0.05842651874374489,,-0.21106310899491437,0.05928537693117987,0.05842651874374489,
"1,4",5,15,True,False,double,0.0009103322712790169,0.12595448524867897,0.12595448524867897,-0.16719266083547535,0.09195969878115236,0.12595448524867897,,-0.16719266083547535,0.09195969878115236,0.12595448524867897,
"1,4",6,15,True,False,double,0.0009103322712790169,0.17974820582791504,0.17974820582791504,-0.15369901583000453,0.11824589170260667,0.17974820582791504,,-0.15369901583000453,0.11824589170260667,0.17974820582791504,
"1,4",7,15,True,False,hit,0.0009103322712790169,0.0370282822792692,0.0370282822792692,-0.47537518327693334,0.0370282822792692,-0.1838655800163816,,-0.47537518327693334,0.0370282822792692,-0.1838655800163816,
"1,4",8,15,True,False,hit,0.0009103322712790169,-0.02705478050290174,-0.02705478050290174,-0.5105175154976173,-0.02705478050290174,-0.31444090236733896,,-0.5105175154976173,-0.02705478050290174,-0.31444090236733896,
"1,4",9,15,True,False,hit,0.0009103322712790169,-0.11218876868994293,-0.11218876868994293,-0.5431496811311094,-0.11218876868994293,-0.4563669632837084,,-0.5431496811311094,-0.11218876868994293,-0.4563669632837084,
"1,4",10,15,True,False,hit,0.0036413290851160674,-0.2372654433651704,-0.17370423031226792,-0.5757818467646016,-0.2372654433651704,-0.5514109122292086,,-0.5404303339949851,-0.17370423031226792,-0.5140284882483093,
"1,5",1,16,True,False,hit,0.0009103322712790169,-0.42236419604629705,-0.16563717206687348,-0.769427459397661,-0.42236419604629705,-0.7399627006837957,,-0.6669507746855103,-0.16563717206687348,-0.6243905676543714,
"1,5",2,16,True,False,hit,0.0009103322712790169,-0.021025187774008636,-0.021025187774008636,-0.29278372720927737,-0.021025187774008636,-0.07156995790821606,,-0.29278372720927737,-0.021025187774008636,-0.07156995790821606,
"1,5",3,16,True,False,hit,0.0009103322712790169,0.009059095346910828,0.009059095346910828,-0.25225022923571355,0.009059095346910828,-0.00722809451045851,,-0.25225022923571355,0.009059095346910828,-0.00722809451045851,
"1,5",4,16,True,False,double,0.0009103322712790169,0.05842651874374489,0.05842651874374489,-0.21106310899491437,0.03997477079360171,0.05842651874374489,,-0.21106310899491437,0.03997477079360171,0.05842651874374489,
"1,5",5,16,True,False,double,0.0009103322712790169,0.12595448524867897,0.12595448524867897,-0.16719266083547535,0.07344881595139324,0.12595448524867897,,-0.16719266083547535,0.07344881595139324,0.12595448524867897,
"1,5",6,16,True,False,double,0.0009103322712790169,0.17974820582791504,0.17974820582791504,-0.15369901583000453,0.0988212554502773,0.17974820582791504,,-0.15369901583000453,0.0988212554502773,0.17974820582791504,
"1,5",7,16,True,False,hit,0.0009103322712790169,-0.004890157173015932,-0.004890157173015932,-0.47537518327693334,-0.004890157173015932,-0.1838655800163816,,-0.47537518327693334,-0.004890157173015932,-0.1838655800163816,
