split_card,drawn_card,upcard,optimal_actions,stand,hit,double,value
3,7,3,double,-0.25225022923571355,0.20608797581394087,0.40932067017593915,0.40932067017593915
3,7,4,double,-0.21106310899491437,0.23047012189717692,0.46094024379435383,0.46094024379435383
3,7,5,double,-0.16719266083547535,0.25625855450163376,0.5125171090032675,0.5125171090032675
3,7,6,double,-0.15369901583000453,0.28779508429888423,0.5755901685977685,0.5755901685977685
3,7,7,double,-0.47537518327693334,0.2569087443360865,0.39241245528243757,0.39241245528243757
3,7,8,double,-0.5105175154976173,0.19795370833197604,0.2866357168862836,0.2866357168862836
3,7,9,double,-0.5431496811311094,0.11652959106928386,0.1443283683807711,0.1443283683807711
3,7,10,hit,-0.5404303339949851,0.0253085230408681,-0.008658688034544837,0.0253085230408681
3,8,1,hit,-0.6669507746855103,0.14300128216153024,0.10906077977909696,0.14300128216153024
3,8,2,double,-0.29278372720927737,0.23835074945762974,0.47064092333946883,0.47064092333946883
3,8,3,double,-0.25225022923571355,0.26032526728707966,0.5177952531222166,0.5177952531222166
3,8,4,double,-0.21106310899491437,0.2830202752089879,0.5660405504179759,0.5660405504179759
3,8,5,double,-0.16719266083547535,0.30734950895451385,0.6146990179090277,0.6146990179090277
3,8,6,double,-0.15369901583000453,0.33369004745378467,0.6673800949075693,0.6673800949075693
3,8,7,double,-0.47537518327693334,0.2921469911270131,0.4628889488642907,0.4628889488642907
3,8,8,double,-0.5105175154976173,0.2299821453239917,0.3506925908703149,0.3506925908703149
3,8,9,double,-0.5431496811311094,0.1582571184551257,0.22778342315245476,0.22778342315245476
3,8,10,double,-0.5404303339949851,0.11948223076371356,0.17968872741114608,0.17968872741114608
3,9,1,hit,-0.6669507746855103,-0.35054034044008003,-0.8293439370786727,-0.35054034044008003
3,9,2,hit,-0.29278372720927737,-0.2533899859666381,-0.5067799719332762,-0.2533899859666381
3,9,3,hit,-0.25225022923571355,-0.23369089979808663,-0.46738179959617326,-0.23369089979808663
3,9,4,stand,-0.21106310899491437,-0.21353655324507698,-0.42707310649015395,-0.21106310899491437
3,9,5,stand,-0.16719266083547535,-0.19327116942628347,-0.38654233885256695,-0.16719266083547535
3,9,6,stand,-0.15369901583000453,-0.17052619990757956,-0.3410523998151591,-0.15369901583000453
3,9,7,hit,-0.47537518327693334,-0.2128477145173143,-0.5067116210767303,-0.2128477145173143
3,9,8,hit,-0.5105175154976173,-0.27157480502428616,-0.6156608928303438,-0.27157480502428616
3,9,9,hit,-0.5431496811311094,-0.3400132806089356,-0.7375056210491795,-0.3400132806089356
3,9,10,hit,-0.5404303339949851,-0.38104299284808774,-0.7968405904052415,-0.38104299284808774
3,10,1,hit,-0.6669507746855103,-0.39693031612293145,-0.8805822794347481,-0.39693031612293145
3,10,2,stand,-0.29278372720927737,-0.30779123771977057,-0.6155824754395411,-0.29278372720927737
3,10,3,stand,-0.25225022923571355,-0.29121011293380095,-0.5824202258676019,-0.25225022923571355
3,10,4,stand,-0.21106310899491437,-0.2742240063993143,-0.5484480127986286,-0.21106310899491437
3,10,5,stand,-0.16719266083547535,-0.2573332724389392,-0.5146665448778784,-0.16719266083547535
3,10,6,stand,-0.15369901583000453,-0.23562627561296381,-0.47125255122592763,-0.15369901583000453
3,10,7,hit,-0.47537518327693334,-0.2690728777660775,-0.5874231313418175,-0.2690728777660775
3,10,8,hit,-0.5105175154976173,-0.32360517609398004,-0.6909658904460949,-0.32360517609398004
3,10,9,hit,-0.5431496811311094,-0.38715518913686875,-0.8077902854905473,-0.38715518913686875
3,10,10,hit,-0.5404303339949851,-0.4252542076446529,-0.8675436159444746,-0.4252542076446529
4,1,1,hit,-0.6669507746855103,-0.1300265016784385,-0.6243905676543714,-0.1300265016784385
4,1,2,hit,-0.29278372720927737,-0.00012068474052642708,-0.07156995790821606,-0.00012068474052642708
4,1,3,hit,-0.25225022923571355,0.029159812622497318,-0.00722809451045851,0.029159812622497318
